cpf;nome;Partido
545;EDITH FERREIRA DE SOUZA OLIVEIRA;SOLIDARIEDADE
546;EUNICE FATIMA RODRIGUES REBOUÇAS DO NASCIMENTO;SOLIDARIEDADE
547;MARIA LUCIA DA SILVA;PODE
548;TANIA MARA DA CRUZ TONET;REPUBLICANOS
549;ERICK JOSÉ ELOI DO NASCIMENTO;PDT
550;ENRICO VAN BLARCUM DE GRAAFF MISASI;MDB
551;ERICA CRISTINA ROCHA GORGA;PATRIOTA
552;ERIKA SANTOS SILVA;PSOL
553;ERIKA FERNANDA MATOS DOS SANTOS;PSDB
554;ERIKA ROBERTA DOS SANTOS OLIVETTI JACOMINI;PSDB
555;ERNESTO BENEDITO NÓBILE;AVANTE
556;ESNAR DONIZETI RIBEIRO LUZ;REPUBLICANOS
557;EVANDRO FONTINELE;PSB
558;EZEQUIEL SOUZA DE SÁ;PRTB
559;MARIA FABIA DA SILVA;PDT
560;FABIANA OLIVEIRA DA SILVA;AVANTE
561;FABIANA SOLER DOS SANTOS ANDRADE;PT
562;FABIO HENRIQUE DA CONCEIÇÃO;PSD
563;FABIO SILVA CALIXTO;PT
564;FABIO DE VASCONCELOS LIMA;AGIR
565;FÁBIO NOVAIS MAGALHÃES;PSDB
566;FÁBIO NOVAIS MAGALHÃES;PSDB
567;FÁBIO SARTORI MANFRINATO;PATRIOTA
568;FABIO RINALDI MANZANO;MDB
569;FABIO DE SALLES MEIRELLES NETO;UNIÃO
570;FABIO JOSÉ RODRIGUES DE MELLO;PSOL
571;FABIO BLANES;AVANTE
572;FÁBIO SILVA MOREIRA;PDT
573;FABIO JOSÉ RIBEIRO PACIULLO;PSC
574;FÁBIO DE ARAÚJO PATUSSO;PMN
575;FABIO APARECIDO PLACIDO;NOVO
576;FABIO ELY RAMOS;PSB
577;FABIO RENATO DE SOUSA FERREIRA;NOVO
578;FABIO CESAR SATO;MDB
579;FABIO SOARES DE OLIVEIRA;PSDB
580;FÁBIO EDUARDO DE OLIVEIRA TERUEL;MDB
581;FÁBIO ISSA ZAN;NOVO
582;FABIOLA DE ALMEIDA PINTO;PROS
583;FABRICIO DE CARVALHO SILVA;PATRIOTA
584;FABRICIO DIAS JUNIOR;MDB
585;MARCO ANTÔNIO FACCAS;PDT
586;FARID SAID MADI;PODE
587;MARIA DE FÁTIMA PAULA BAULÉ;NOVO
588;FATIMA APARECIDA SANTOS DE SOUZA;PROS
589;FATIMA REGINA PORTELLA OLIVEIRA;NOVO
590;FAUSTO SALVADOR PERES;PODE
591;FAUSTO RUY PINATO;PP
592;ELAINE DOSOLINA FAVERO;PSD
593;RODRIGO FAZITO ZIOLLI CALDERARO GIACOMINI;PMB
594;ANTONIO RAIMUNDO FEDOSSI;PTB
595;FELICIANO NAHIMY FILHO;PATRIOTA
596;FELIPE BECARI COMENALE;UNIÃO
597;LUIZ FELIPE DE ANDRADE FOLGOSI;PL
598;FELIPE AUGUSTO TEDESCHI LINTZ;PATRIOTA
599;FELIPE GUIMARÃES DE ARAÚJO COSTA;PSB
600;LUIZ FELIPE DE LIMA SANTOS;MDB
601;FERNANDA ALVES SILVA;PATRIOTA
602;FERNANDA FERREIRA DE ARAÚJO;PSD
603;FERNANDA STEFANI CURTI;PT
604;FERNANDA SCHLIC GARCIA;PSOL
605;FERNANDA DA SILVA ALVES;REPUBLICANOS
606;FERNANDA MENDES PRADO;PT
607;FERNANDA DE ARAÚJO COSTA;PROS
608;FERNANDO CAPEZ;UNIÃO
609;FERNANDO CHIARELLI;PATRIOTA
610;FERNANDO BELCHIOR DIAS;PATRIOTA
611;FERNANDO ALVES LISBOA DINI;MDB
612;FERNANDO FAVORETO;PSC
613;FERNANDO FERRARI MERIGLI;PTB
614;FERNANDO HOLIDAY SILVA BISPO;NOVO
615;LUIS FERNANDO DE SOUZA;PSDB
616;FILIPE MANSINHO DE LIMA;REPUBLICANOS
617;CLEVERSON FIUZA ALVES;NOVO
618;FLAVIA BITENCOURT PIRES;PODE
619;FLAVIA CAMARGO DA SILVA;PODE
620;FLÁVIA OLIVITO LANCHA ALVES DE OLIVEIRA;PSD
621;FLAVIA FERREIRA DO PRADO;PATRIOTA
622;FLÁVIO AUGUSTO DA SILVA;PSD
623;FLAVIO SILVA DE FREITAS;PATRIOTA
624;FLÁVIO DOS SANTOS ALECRIM;PMN
625;FLAVIO CASIMIRO DE SOUSA;PSOL
626;FLAVIO ROBERTO CASIMIRO;AGIR
627;FLÁVIO ROBERTO DE SOUZA SANT'ANNA;PSB
628;FLÁVIO SILVA FILHO;PSOL
629;FLAVIUS COTAIT RUGGIERO;PRTB
630;JOSÉ FLORIANO DE ARAUJO JUNIOR;PSB
631;FRANCINA SOUZA DRUMOND;PSB
632;FRANCIELLE LUZIA DE SOUZA DURAN;PMN
633;FRANCIELLE EYRE DE OLIVEIRA TRIANI;UNIÃO
634;FRANCISCO JOSÉ DA CRUZ FILHO;PMN
635;ANTONIO FRANCISCO DA SILVA ARAUJO;PSOL
636;FRANKLIN VENANCIO DA SILVA NETTO;PODE
637;FREDERICO AUGUSTO ARANTES MACHADO;PSDB
638;FREDERICO BRAUN D AVILA;PL
639;ROBSON LIEBETANZ DZELVE CALABIANQUI JUNIOR;PL
640;GABRIEL MARQUES DA COSTA;PCO
641;GABRIEL HENRIQUE MARUCCI;PCB
642;JOSE ANTONIO DE OLIVEIRA;PTB
643;PAULA DIAS DE LA FUENTE;UNIÃO
644;ESTER LOPES DE SOUZA FLOR;UNIÃO
645;ALBERT GAUSS;PP
646;GEFFERSON LUIS DE SOUSA ROSA;AVANTE
647;ROBERTO SEBASTIÃO PETERNELLI JUNIOR;UNIÃO
648;GENERSON JOSE FAUSTINO;PROS
649;EUGENIO JOSÉ ZULIANI;UNIÃO
650;GEOVANIA DE SOUSA OLIVEIRA QUEIROZ;PP
651;GERALDA MARIA DE LIMA;PP
652;GERALDO JERÔNIMO GONÇALVES;PDT
653;GERALDO MARTINS DE SOUZA;PT
654;GERALDO RODRIGUES GUILHERME;AGIR
655;GIVANILSE DOS SANTOS;UNIÃO
656;GILDENOR ALVES FREIRE;PT
657;GILBERTO BENTO;REPUBLICANOS
658;GILBERTO SILVA LIMA;AGIR
659;GILBERTO NASCIMENTO SILVA;PSC
660;GILMAR APARECIDO RODRIGUES;PATRIOTA
661;GILMAR DA SILVA GIMENES;PL
662;GILMAR ROTTA;PP
663;GILMARA VANZO CRISTÃO;PP
664;GILSON DE SOUZA CARVALHO;PDT
665;GILVANDRO JOSÉ ALVES DE OLIVEIRA FILHO;PDT
666;GIOVANI FALCONE DE CRISTO ALVES;PRTB
667;GISELE ARANHA SCHOWE;NOVO
668;GISELE DE MORAES PONTES;DC
669;GLAUCE KELLY DOS SANTOS ADÃO LIMA;PDT
670;GLAUCIA DE MATOS BERNARDO;PP
671;GLÁUCIA ASSUNÇÃO DE OLIVEIRA;PMN
672;GLAUCIA BERENICE SANTOS DA SILVA;REPUBLICANOS
673;GLAUCIA MAXIMO DOS SANTOS;PATRIOTA
674;ANTONIO GOULART DOS REIS;UNIÃO
675;SILVANO XAVIER MOURATO;PROS
676;GUALTER DE ALMEIDA AMADO;REPUBLICANOS
677;WALDIR FELICIANO GUEDES;PROS
678;ANTÔNIO AGNALDO GUERRA;SOLIDARIEDADE
679;WAGNER DONIZETI PEREIRA;PATRIOTA
680;JOSÉ GUILHERME NEGRÃO PEIXOTO;PSC
681;GUILHERME CASTRO BOULOS;PSOL
682;GUILHERME SORICILLO BUNGER;PTB
683;GUILHERME CAMPOS JUNIOR;PSD
684;GUILHERME CAMPO DALL ORTO LEITE DO AMARAL;PODE
685;GUILHERME DE SOUZA GOMES;PSDB
686;GUILHERME PIAI SILVA FILIZZOLA;REPUBLICANOS
687;GUILHERME PRADO ALMEIDA DE SOUZA;PSOL
688;ÉLCIO GUSSON;PMN
689;GUSTAVO MARTINS PICCOLO;PDT
690;CLAUDINEI DE OLIVEIRA BARBOSA;PTB
691;HAMILTON BERNARDES JUNIOR;UNIÃO
692;HAROLD THAU;PSDB
693;HAROLDO LOUZADA DE MAGALHÃES VIANA;PATRIOTA
694;HEITOR ALVES;PDT
695;HELCIO FREIRE DO CARMO;NOVO
696;HELIO NISHIMOTO;MDB
697;HELIO ALVES RIBEIRO;REPUBLICANOS
698;HÉLIO TELES ALVES;PMN
699;MARIA HELOISA GOMES DA SILVA;SOLIDARIEDADE
700;HELOIZA RAVASQ DA SILVA;PMN
701;HELTON MICHAEL LEITE FERREIRA;PMN
702;HENRI DIAS;SOLIDARIEDADE
703;HENRI HAIM ESSES;PV
704;HENRIQUE STEIN SCIASCIO;REPUBLICANOS
705;HENRIQUE CARLOS PARRA PARRA FILHO;PSOL
706;MIGUEL ANDERSON HEREDIA DE SÁ;PTB
707;HERNANI ALBERTO MONACO LEONHARDT;MDB
708;HILARIO JULIANO RUIZ DE OLIVEIRA;PSB
709;HOSANA DA SILVA PEREIRA;PP
710;HUGO GOMES PAIVA;PTB
711;HUMBERTO JANTIM NETO;NOVO
712;IARA BERNARDI;PT
713;IARA REGINA CORRÊA GUSMÃO;AVANTE
714;ANTONIO MARIO DE PAULA FERREIRA IELO;PDT
715;IGOR COIMBRA MANHANI;PP
716;ILDA MARA REIS;PODE
717;MARIO VIGGIANI NETO;PRTB
718;IOLANDA GOMES RUAS;PSD
719;IRACILDA LOPES GUIMARÃES;PSB
720;APARECIDA SOUZA LIBERALINO ALVES;PATRIOTA
721;MARIA DA GUIA ALVES DA ROCHA;PSC
722;ISADORA MARTINATTI PENNA;PC do B
723;ISAAC DALCOL ANTUNES;PL
724;ISABEL CRISTINA GONÇALVES BERNARDES;REDE
725;ISAÍAS TEIXEIRA DE OLIVEIRA;PSB
726;ISIS MUSTAFÁ DE ASSIS;UP
727;ITALO LORENZON NETO;PTB
728;IVAN RENATO DE LIMA;PSDB
729;IVAN RICARDO GARISIO SARTORI;AVANTE
730;IVAN SERIGATO JUNIOR;PODE
731;IVAN VALENTE;PSOL
732;IVANDA MARIA RODRIGUES COSTA;PMN
733;IVANILDO DOS SANTOS;REPUBLICANOS
734;IZADORA CRISTINA DIAS DA SILVA;PCO
735;CLEBER DOS SANTOS TEIXEIRA;PROS
736;JARKSON VILAR DA SILVA;REPUBLICANOS
737;JACQUELINE CHANEL;PT
738;JACQUELINE COPQUE DE SANT'ANNA PEREIRA;PSB
739;JAIR CUSTÓDIO DA SILVA;PODE
740;JAIR GOMES DA SILVA;PTB
741;GUILHERME DE SOUZA;PP
742;JANAÍNA VALÉRIA BUCKER RIEDO;PRTB
743;JANAINA MACEDO CALVO;NOVO
744;JANAINA FERRATO ELIAS;PT
745;JANAINA CARLA DE LIMA PASCALICHIO;MDB
746;JANAINA PEREIRA DA SILVA SOARES;PROS
747;JOÃO AFONSO SOLIS;PSB
748;JANIEIRE MARIA SILVA;NOVO
749;FABIO DIAS DE OLIVEIRA;UNIÃO
750;JAQUELINE DOMINGOS SAVIO MARTINS DO NASCIMENTO;UNIÃO
751;JARBAS EMÍLIO DE MORAES NETO;NOVO
752;JOÃO BOSCO DE OLIVEIRA;PODE
753;DARLEY JEAN ALBUQUERQUE BARBOSA;PMN
754;JEFFERSON FERNANDO RIBEIRO CABRAL;PSB
755;JEFFERSON ALVES DE CAMPOS;PL
756;JEFFERSON LUIZ PEREIRA DA SILVA;UNIÃO
757;JENNIFER ADRIELI CERQUEIRA LEITE LOPES;AGIR
758;JERRI ADRIANO FERREIRA DA SILVA;PSC
759;JERUSA JANUÁRIA DA SILVA;REDE
760;JESSICA PASCOAL ALVES;PRTB
761;JÉSSICA APARECIDA SOMER MAGALHÃES;PSC
762;JESSICA VILOCANIA SEVERINO;PATRIOTA
763;JILMAR AUGUSTINHO TATTO;PT
764;JUCILENE ALVES DA SILVA;PSC
765;JÓ RODRIGUES COSTA DO NASCIMENTO;PROS
766;ROBSON ALMEIDA VENTURA;DC
767;JOÃO CURY NETO;MDB
768;JOÃO EDUARDO DADO LEITE DE CARVALHO;PL
769;JOÃO FRANCISCO GARCIA;PMN
770;JOÃO JORGE CAPRONI COSTA PIMENTA;PCO
771;JOÃO LUIZ FEITOSA;MDB
772;JOÃO PAULO RILLO;PSOL
773;JOÃO PEDRO DA PAZ ARAÚJO;REDE
774;JOÃO VITOR SPARANO;PROS
775;JOÃO ROBERTO DE SOUZA;DC
776;JORGE MALULY NETO;PODE
777;JOEL ANTONIO DE MELLO;PTB
778;JOEL DE MELO;AVANTE
779;JAELSON DA CONCEIÇÃO SERRA;PROS
780;JOICE CRISTINA HASSELMANN;PSDB
781;JONAS DE CASTRO DIAS;PMB
782;JONAS DONIZETTE FERREIRA;PSB
783;JONAS AUGUSTO MIGUEL MACHADO;AGIR
784;JONATAN SANTOS DE OLIVEIRA;REPUBLICANOS
785;JONATHAN FABIO NASCIMENTO SOUZA;REPUBLICANOS
786;JONES DOS SANTOS SILVA;PL
787;JORGE BATISTA LOPES;SOLIDARIEDADE
788;JORGE CORRÊA DE ARAUJO;PSD
789;JORGE EDUARDO RUBIES;AVANTE
790;JORGE DONIZETTI RIBEIRO DE MATOS;PMN
791;JORGE ANTONIO SORIANO MOURA;PT
792;JORGE AUGUSTO FIGO PESSOA;PDT
793;FRANCIS GRACE RAMOS FRANCISCO;PMB
794;WALTER GUALBERTO DE BRITO;PROS
795;WELLINGTON MACEDO DE SOUZA;PTB
796;JOSÉ ALFREDO GARCIA DOS SANTOS;PRTB
797;JOSÉ AMÉRICO ASCENCIO DIAS;PT
798;JOSÉ ANIBAL PERES DE PONTES;PSDB
799;JOSÉ DOMINGOS BITTENCOURT;AVANTE
800;JOSÉ VASCONCELO VIANA;PMN
801;JOSÉ LEMES SOARES;PODE
802;JOSÉ SERRA;PSDB
803;JOSIANE CRISTINA FRANCISCO PIETRO;PSD
804;JONATHAN PEREIRA DE SOUZA;PMN
805;JUAREZ DE CARVALHO COSTA;PMB
806;JUAREZ DOMINGOS COSTA;PSC
807;JUAREZ JUVÊNCIO DOS SANTOS;PODE
808;MAURÍCIO JESUS DE MORAES;DC
809;WILSON LIMA DA SILVA;PSB
810;JULIANA VALÉRIA DA SILVA;AVANTE
811;MARIA JULIA SARAIVA DE CARVALHO;PCB
812;JULIANA DE PAULA LOURO TENÓRIO;UNIÃO
813;JULIANA CARDOSO;PT
814;JULIANE LAURA CAMOLESI GALLO;MDB
815;MARCOS JULIANO FERREIRA;PATRIOTA
816;JULIANO TAKESHI KOCHI;AGIR
817;JÚLIO CESAR FERRAZ VIEIRA;PV
818;JÚLIO CÉSAR GARCIA;PODE
819;JULIO CESAR DE LIMA MORAES;PSB
820;JÚLIO CÉSAR GUIDETTE LUCANTE SALDANHA;NOVO
821;ADILSON DA SILVA ROZA FILHO;REPUBLICANOS
822;NICOLINO BOZZELLA JUNIOR;UNIÃO
823;JOSE CARLOS OROSCO;UNIÃO
824;JURACY FRANCISCO DE JESUS;AGIR
825;JURANDIR PEREIRA ALENCAR;PTB
826;JUSSARA MORO PRESTO;PP
827;MARIA GABRIELA PRADO MANSSUR;MDB
828;KALED ALI EL MALAT;PSD
829;CAMILA GARCIA;PATRIOTA
830;KARINA CELESTE MOURA;PSD
831;KARLA JULIANE DA SILVA ALVES FRANCISCO;MDB
832;KATHERINE DO FORTE SILVA;PMB
833;KATIANE DA COSTA PEREIRA;PSB
834;KAUÊ CESAR SILVA;MDB
835;IOLANDA KEIKO MIASHIRO OTA;MDB
836;KELLY PIRES FREITAS;AGIR
837;KERIN DA ROCHA SILVA PEREIRA;PRTB
838;KERLLYN DE OLIVEIRA MENEGUSSE;PT
839;CLOVIS BASILIO DOS SANTOS;UNIÃO
840;JOSÉ OSVALDO CAVALCANTE BELONI;PSC
841;FRANCISCO DANIEL CELEGUIM DE MORAIS;PT
842;JACQUES CHOURIK;PP
843;KIM PATROCA KATAGUIRI;UNIÃO
844;RODRIGO MEIRA BRITO;UNIÃO
845;MARCOS ROBERTO VICENTE;PP
846;KOYU IHA;SOLIDARIEDADE
847;LAIR MOURA SALA MALAVILA JUSEVICIUS;UNIÃO
848;LARISSA PAIVA ANALIO MARCELINO;MDB
849;LAUDERICO SARTORATTO;PRTB
850;LÉA PICELLI;DC
851;LEA MARIA DE SALES CUNHA;PMB
852;LEANDRO CSEIMAN DOURADO;PDT
853;LEANDRO AUGUSTO DO AMARAL;PATRIOTA
854;LEANDRO PAGGIARO CORREA DE ARRUDA;PCO
855;LEANDRO RUIVO;PRTB
856;LEANDRO VITOR AFONSO DA SILVA VERONEZ;PRTB
857;LEILSON CASTRO DOS SANTOS;PRTB
858;EDILENE OLIVEIRA ANDRADE;PP
859;LENIR MARIA DE OLIVEIRA;PSC
860;LEONORA MENDES DE LIMA;MDB
861;LEONARDO DE ASSIS FERREIRA;PRTB
862;ALESSANDRO DE FREITAS LEONE;PSD
863;LEONICE LEONCIA DOS SANTOS;REPUBLICANOS
864;LEONILDE RUFINO DE SENA HINA;AGIR
865;LEWIS SAWINSKI DE ALMEIDA;PODE
866;LEVY FRANCISCO RODRIGUES FIDELIX;PRTB
867;ELIANE CRISTINA GANZAROLI DA SILVA;AGIR
868;LIDIANI ROCHA FERREIRA;MDB
869;LIGIA LIMA DOS SANTOS;UNIÃO
870;LILIANE NUNES DE CARVALHO DOS SANTOS;AGIR
871;PASCOALINA SOUZA SILVA;PT
872;LILIAN MARIA COSTA MANSUR ANDRADE;NOVO
873;LILIAN REGINA SANTANA TROVÃO;PL
874;LILIANE GONÇALVES VENTURA LOPES;PL
875;DMITRI PATRICIO DE LIMA;CIDADANIA
876;LINCOLN PEREIRA FERNANDES;PDT
877;FERNANDO LISBOA DA CONCEIÇÃO;PL
878;LISIA SAKAI;PCO
879;SERGIO ZULMIRO LITHOLDO;PROS
880;LORENY MAYARA CAETANO ROBERTO;SOLIDARIEDADE
881;LOURIVALDO DELFINO;PATRIOTA
882;LUANA DE BRITO TAVARES;PSD
883;LUANA TRINDADE DA SILVA;AVANTE
884;LUCAS SANCHES PROMESSIA;PP
885;MARIA LUCIA SECOTI FILIZOLA;REDE
886;LUCIANA RIBEIRO CASTELLAN;PTB
887;LUCIANA CUNHA;PATRIOTA
888;LUCIANA TRINDADE DE MACEDO;PSB
889;LUCIANA DA SILVA;REPUBLICANOS
890;LUCIANA PAULA VALENTIM;PATRIOTA
891;LUCIANO ANDRE RODRIGUES;MDB
892;LUCIANO LEMOS MEGA;AVANTE
893;LUCIANO MOURA DA SILVA;PDT
894;LUCIANO UBIRAJARA NASSAR;AGIR
895;LUCIANO DA CONCEIÇÃO;SOLIDARIEDADE
896;LUCIENE CAVALCANTE DA SILVA;PSOL
897;LUCIENE BARROS VERISSIMO DA SILVA;PT
898;LUCIO DIAS DE OLIVEIRA;PTB
899;LUZIANE DIAS SIMÃO;PSOL
900;LUIS CLAUDIO FERNANDES MIRANDA;REPUBLICANOS
901;LUIS ROSAS JUNIOR;PROS
902;LUÍS EDUARDO ANTUNES VIEIRA;PSD
903;LUIZ DE SOUZA ARRAES;SOLIDARIEDADE
904;LUIZ FELIPE DIAS;PDT
905;LUIZ LAURO FERREIRA;MDB
906;LUIZ MARINHO;PT
907;LUIZ CARLOS RAMOS ARRUDA DA SILVA;AGIR
908;LUIZ OTAVIO OLIVEIRA CAMPOS;MDB
909;LUIZ PHILIPPE DE ORLEANS E BRAGANÇA;PL
910;LUIZ SCALEA;PODE
911;LUIZ FRANCISCO TEIXEIRA;PTB
912;LUIZ ZACARIAS DE ARAUJO FILHO;PL
913;LUIZA ERUNDINA DE SOUSA;PSOL
914;LUIZA POLYDORO;PTB
915;CLEBER MACARIO DE MACEDO;PDT
916;EMERSON DE ABREU SANTANA;PT
917;ANTONIO ALBERTO MACHADO;PT
918;MADALENA DE LAURA PEREIRA;PSC
919;MAICON VINICIUS RIBEIRO DA SILVA;MDB
920;MAISA DINIZ LIMA;REDE
921;ODIMAR BARRETO DOS SANTOS;PROS
922;ADRIANO DA COSTA E SILVA;REPUBLICANOS
923;PAULO SERGIO DA ROCHA;REPUBLICANOS
924;VITOR LEONARDO SANTOS VARCILIO;PATRIOTA
925;LUIZA FAUSTINO PEREIRA PARI;AVANTE
926;MARIA LUCIA DA SILVA;PODE
927;MANOEL EDUARDO PEREIRA DA CRUZ PALOMINO;PP
928;MANOEL DAVID KORN DE CARVALHO;UNIÃO
929;MARCOS RODRIGUES;PRTB
930;MARA LUCIA GARCIA;PRTB
931;MARAISA PINHEIRO TANNURE;PROS
932;FERNANDO JOSE DE SOUZA MARANGONI;UNIÃO
933;MARCOS VINICIUS LUZ GIANNONI;PMB
934;MARCOS ROBERTO DOS SANTOS;PTB
935;MARCEL BRASIL DE SOUZA MOURA;DC
936;MARCELA DE CARVALHO NORA;UNIÃO
937;MARCELO DA SILVA;MDB
938;MARCELO MARQUES DE SOUZA;PP
939;MARCELLO LEONARDI BEZERRA;PSB
940;MARCELLO FERREIRA DOS SANTOS;PSTU
941;MARCELO PORFIRIO DA SILVA;PSDB
942;MARCELO APARECIDO DA SILVA;REPUBLICANOS
943;MARCELO HERCOLIN;UNIÃO
944;MARCELO GERALDO DA SILVA;PSC
945;MARCELO DE LIMA FERNANDES;SOLIDARIEDADE
946;MARCELO FABIÁN MERCAU FILHO;PROS
947;MARCELO JOSÉ ORTEGA;PODE
948;MARCELO RODRIGUES JUNIOR;PATRIOTA
949;MARCELO ROSSI DOS SANTOS;PTB
950;MARCELO CESAR TORRES RUBI;PRTB
951;MARCIA HELENA BARROS BENEDITO;DC
952;MARCIA BUENO DA SILVA;PTB
953;MARCIA REGINA ALVES GONCALVES;PTB
954;MÁRCIA REBESCHINI PATELLA DA SILVA;PV
955;MÁRCIA ROCHA;CIDADANIA
956;MARCIA VALERIA MARQUES LOPES SAQUETO;PATRIOTA
957;ANTONIO CARLOS MARCIANO;PROS
958;MARCILIO DUARTE LIMA;PTB
959;MÁRCIO LEANDRO CENTENORIO;PSOL
960;MARCIO GONÇALVES MACIEL;MDB
961;MARCIO LUIZ ALVINO DE SOUZA;PL
962;MARCIO CECCHETTINI;PSDB
963;MARCIO ROBERTO GARCIA LARRANHAGA;PSC
964;MARCIO RODRIGUES;PODE
965;MARCIONILIO CAMARGO DOS SANTOS;PRTB
966;MARCO ANTONIO DE SOUZA PINTO;NOVO
967;MARCO AURELIO BERTAIOLLI;PSD
968;MARCO ANTONIO BATISTA;REDE
969;MARCO ANTONIO FONTEBASSO;PROS
970;MARCOS DA COSTA;AVANTE
971;MARCOS DE BARROS GABRIEL;AGIR
972;MARCOS GUERRA;UNIÃO
973;MARCOS ANTONIO DE CARVALHO LUCAS;NOVO
974;MARCOS ANTONIO DE ARAUJO;PSDB
975;MARCOS ROBERTO DIAS DE OLIVEIRA;PRTB
976;MARCOS ANTONIO PALERMO;MDB
977;MARCOS ANDRÉ PAPA;PODE
978;MARCOS ANTONIO PEREIRA;REPUBLICANOS
979;MARCOS ESTEVÃO MARQUES SARAIVA;MDB
980;MARCUS VINICIUS DE ARAÚJO DANTAS;PODE
981;MARGARETE SÁ DOS REIS;PL
982;MARIANNE BORGES TAVELLI;SOLIDARIEDADE
983;MARIA DA PAIXÃO PEREIRA COSTA;PODE
984;MARIA ELI FERNANDES DOS SANTOS MANIÇOBA;PSOL
985;MARIA ELISANGELA DE ARAÚJO;PMN
986;MARIA GIOVANA LUCHIARI PISONI DUARTE FORTUNATO;PDT
987;MARIA JOAQUINA DOS SANTOS;PDT
988;MARIA JOSE DE SOUZA;PTB
989;MARIA JOSÉ CUNHA;PROS
990;MARIA LÚCIA BRESSANE CRUZ;AVANTE
991;MARIA DE JESUS LOPES MARTINS SILVA;PTB
992;MARIA DO PARTO MENDES ROSAS;REPUBLICANOS
993;MARIANA FRAGOSO WATANABE;PSTU
994;MARIANA CERGOLI JANEIRO;PT
995;MARIANA CRISTINA PONTES PAPAIZ;PROS
996;MARILZA DE FATIMA RUFINO;NOVO
997;MARINA CORREIA DA SILVA;PSDB
998;MARINA HELENA CUNHA PEREIRA SANTOS;NOVO
999;MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA;REDE
1000;MÁRIO DE OLIVEIRA;SOLIDARIEDADE
1001;IDÁRITONIO MARINHO DE JESUS;PSB
1002;MÁRIO COVAS NETO;PODE
1003;MARIO DONIZETE D ANDREA;REDE
1004;MARIO LUIS FRIAS;PL
1005;MARIO JOSE DE SOUZA;AGIR
1006;MARISTELA MACHADO LEITE GOMES;DC
1007;MARKS RODRIGO PINTIJA;REDE
1008;MARLENE MARIA RAMOS;PATRIOTA
1009;MARLI GOMES DO CARMO;NOVO
1010;MARLON FARIAS DA LUZ;MDB
1011;MARSCHELO RODRIGO MARIN MECHE;PL
1012;MARTA DIAS FELIX;PDT
1013;MARTA MARIA FERREIRA ARAÚJO;AVANTE
1014;MARTA CRISTINA LUCHI DE LIMA;PROS
1015;MARTA DE SOUZA SOBRAL;PT
1016;MARTHA VANIA LOPES IWASAKI;PROS
1017;MARTINHO CARLOS COLPANI FILHO;PL
1018;MARIA CONCEIÇÃO FRANCO DELFINO;PMB
1019;VALDIR ANTONIO MASSUCATO;PATRIOTA
1020;MATEUS OLIVEIRA MORO;PT
1021;MATHEUS GARCIA MOREIRA;PROS
1022;MATHEUS DE OLIVEIRA PINTO;PL
1023;MAURICIO CHINAGLIA;SOLIDARIEDADE
1024;MAURICIO PEREIRA CARDOSO;DC
1025;MANOEL MAURICIO SILVA NEVES;PP
1026;MAURICIO RAPPA SANTOS;NOVO
1027;MAURREN HIGA MAGGI;REPUBLICANOS
1028;MAXWELL TEODORO MARIANEK ALVES;PCB
1029;MAXIMILIANO RODRIGUES;SOLIDARIEDADE
1030;MAYRA LARISSA COSTA MIRANDA;UNIÃO
1031;MARIO EDUARDO DE OLIVEIRA;DC
1032;DEJAIR DIAS DA SILVA;PDT
1033;MARCOS PARAÍSO DA SILVA;PRTB
1034;ADENILSON SILVA ALVES;MDB
1035;ALEXANDRE MANOEL LEME;UNIÃO
1036;MICHEL ARAUJO SILVA FIGUEREDO;PATRIOTA
1037;MICHELLI CASSIANA DA PAIXÃO;PP
1038;MIGUEL GOMES FERNANDES;PMN
1039;MIGUEL LOMBARDI;PL
1040;MILTON ANTONIO CASQUEL MONTI;PSD
1041;MILTON VIEIRA PINTO;REPUBLICANOS
1042;MIRANICE DOS SANTOS BARRETO;PROS
1043;VALDOMIRO SUTERIO;SOLIDARIEDADE
1044;MARIA MIRTES LOPES DA SILVA CAMELO;AGIR
1045;ELIMARA LOTERIO DA SILVA DIAS;PMN
1046;JOSÉ MAURO SOUZA DA SILVA;PMN
1047;JOSÉ OLIMPIO SILVEIRA MORAES;PL
1048;MOACIR RODRIGUES FERNANDES;AGIR
1049;JOARLEY MOISES ALVES DOS SANTOS;PTB
1050;MÔNICA GABRIELA BUAVA DE FREITAS;PV
1051;MONICA APARECIDA CALAZANS;PSDB
1052;MONICA FERREIRA BITENCOURT DE ALMEIDA;PSC
1053;MONICA ROSENBERG BRAIZAT;NOVO
1054;MÔNICA APARECIDA DA SILVA SONTINI;PSC
1055;MÔNICA DE OLIVEIRA LOURENÇO VELOSO;PDT
1056;MONIQUE FERNANDES MACHADO;DC
1057;JOSÉ MARIO YAMASHITA;PP
1058;SERGIO RICARDO RIBEIRO DE OLIVEIRA;PODE
1059;LUIZ CARLOS MOTTA;PL
1060;MUNIR WAHHAB;PTB
1061;RICARDO MURILO COGHI;UNIÃO
1062;LINDINALVA DO CARMO LIMA;PDT
1063;FERNANDO PINHEIRO;PL
1064;INES NANY RODRIGUES DA SILVA;UNIÃO
1065;GREICE NAOMI YAMAGUCHI;PROS
1066;NATÁLIA ROBERTA MASSI SOLERA;AVANTE
1067;NATANAEL RODRIGUES DE PAULA;AGIR
1068;ROSNAY LUCAS BERNARDES;PROS
